year,player_id,pred_r2,pred_r3,pred_r4,pred_qf,pred_sf,pred_f,pred_w,actual_rounds,reached_r2,reached_r3,reached_r4,reached_qf,reached_sf,reached_f,reached_w
2010,F324,0.9566,0.9287,0.8721,0.7996,0.6856,0.5334,0.3506,4,1,1,1,1,0,0,0
2010,F444,0.0434,0.0284,0.0125,0.004,0.0009,0.0001,0.0,0,0,0,0,0,0,0,0
2010,BA57,0.3891,0.015,0.0039,0.0007,0.0001,0.0,0.0,1,1,0,0,0,0,0,0
2010,M655,0.6109,0.0279,0.0105,0.0031,0.0005,0.0001,0.0,0,0,0,0,0,0,0,0
2010,C487,0.3532,0.1586,0.0107,0.0045,0.001,0.0002,0.0,2,1,1,0,0,0,0,0
2010,T742,0.6468,0.3913,0.0467,0.0224,0.0079,0.0019,0.0007,0,0,0,0,0,0,0,0
2010,L515,0.2812,0.084,0.0047,0.0011,0.0003,0.0,0.0,1,1,0,0,0,0,0,0
2010,R419,0.7188,0.3661,0.0389,0.0188,0.0064,0.0012,0.0001,0,0,0,0,0,0,0,0
2010,L397,0.7181,0.4611,0.2154,0.0318,0.0119,0.0022,0.0001,2,1,1,0,0,0,0,0
2010,L799,0.2819,0.1213,0.0351,0.0023,0.0008,0.0,0.0,0,0,0,0,0,0,0,0
2010,BE90,0.3982,0.142,0.0384,0.0029,0.0002,0.0,0.0,1,1,0,0,0,0,0,0
2010,BD59,0.6018,0.2756,0.1021,0.0091,0.0018,0.0002,0.0,0,0,0,0,0,0,0,0
2010,T840,0.6748,0.2689,0.1491,0.0204,0.0063,0.0017,0.0003,1,1,0,0,0,0,0,0
2010,K403,0.3252,0.0875,0.0311,0.0033,0.0006,0.0001,0.0,0,0,0,0,0,0,0,0
2010,M762,0.8734,0.611,0.4197,0.0759,0.0347,0.011,0.0023,3,1,1,1,0,0,0,0
2010,BA65,0.1266,0.0326,0.0091,0.0001,0.0001,0.0001,0.0,0,0,0,0,0,0,0,0
2010,BA47,0.9097,0.7126,0.5145,0.3398,0.1013,0.0475,0.0164,6,1,1,1,1,1,1,0
2010,G806,0.0903,0.0273,0.005,0.0012,0.0001,0.0,0.0,0,0,0,0,0,0,0,0
2010,B896,0.7838,0.2337,0.1051,0.0444,0.0066,0.0013,0.0001,1,1,0,0,0,0,0,0
2010,SG87,0.2162,0.0264,0.0051,0.0009,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2010,S636,0.4096,0.121,0.0302,0.0104,0.0011,0.0002,0.0001,1,1,0,0,0,0,0,0
2010,T315,0.5904,0.2282,0.0704,0.0285,0.0037,0.0005,0.0001,0,0,0,0,0,0,0,0
2010,I165,0.3094,0.1605,0.0446,0.0158,0.0018,0.0002,0.0001,2,1,1,0,0,0,0,0
2010,W367,0.6906,0.4903,0.2251,0.1269,0.0277,0.0085,0.0023,0,0,0,0,0,0,0,0
2010,H528,0.6808,0.4682,0.1686,0.0539,0.007,0.0011,0.0,2,1,1,0,0,0,0,0
2010,KB54,0.3192,0.1609,0.0361,0.0078,0.0009,0.0001,0.0,0,0,0,0,0,0,0,0
2010,K771,0.6521,0.2751,0.0671,0.0123,0.001,0.0001,0.0,1,1,0,0,0,0,0,0
2010,D339,0.3479,0.0958,0.0135,0.0021,0.0002,0.0,0.0,0,0,0,0,0,0,0,0
2010,BC72,0.3501,0.0614,0.0233,0.0029,0.0004,0.0,0.0,3,1,1,1,0,0,0,0
2010,A511,0.6499,0.1826,0.0992,0.0264,0.0028,0.0007,0.0001,0,0,0,0,0,0,0,0
2010,D402,0.8831,0.7152,0.5774,0.3241,0.0861,0.034,0.0113,1,1,0,0,0,0,0,0
2010,A678,0.1169,0.0408,0.0148,0.0026,0.0002,0.0,0.0,0,0,0,0,0,0,0,0
2010,D643,0.8857,0.8102,0.7252,0.4925,0.3002,0.1151,0.0499,5,1,1,1,1,1,0,0
2010,R397,0.1143,0.065,0.0365,0.0094,0.0021,0.0003,0.0001,0,0,0,0,0,0,0,0
2010,D362,0.5042,0.0622,0.0318,0.0067,0.0008,0.0,0.0,1,1,0,0,0,0,0,0
2010,C514,0.4958,0.0626,0.031,0.0061,0.001,0.0001,0.0,0,0,0,0,0,0,0,0
2010,E254,0.6044,0.2198,0.0265,0.0045,0.0006,0.0,0.0,1,1,0,0,0,0,0,0
2010,H704,0.3956,0.1104,0.0096,0.0008,0.0001,0.0,0.0,0,0,0,0,0,0,0,0
2010,M824,0.7436,0.5457,0.1271,0.0393,0.0093,0.002,0.0003,2,1,1,0,0,0,0,0
2010,L503,0.2564,0.1241,0.0123,0.0015,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2010,MC65,0.6722,0.5464,0.2128,0.0751,0.0242,0.0045,0.0009,2,1,1,0,0,0,0,0
2010,MD56,0.3278,0.2234,0.057,0.015,0.0033,0.0003,0.0001,0,0,0,0,0,0,0,0
2010,B804,0.6495,0.1747,0.0324,0.0052,0.0005,0.0,0.0,1,1,0,0,0,0,0,0
2010,V251,0.3505,0.0555,0.0064,0.0013,0.0001,0.0001,0.0,0,0,0,0,0,0,0,0
2010,K760,0.4373,0.0563,0.0171,0.002,0.0003,0.0,0.0,1,1,0,0,0,0,0,0
2010,SE66,0.5627,0.0893,0.0299,0.0058,0.0015,0.0001,0.0,0,0,0,0,0,0,0,0
2010,H432,0.875,0.7859,0.6191,0.3301,0.1759,0.0573,0.0195,3,1,1,1,0,0,0,0
2010,G585,0.125,0.0685,0.0253,0.0047,0.0007,0.0001,0.0,0,0,0,0,0,0,0,0
2010,MB02,0.2129,0.0681,0.029,0.0048,0.001,0.0,0.0,2,1,1,0,0,0,0,0
2010,C977,0.7871,0.4684,0.3201,0.1221,0.0461,0.0105,0.0031,0,0,0,0,0,0,0,0
2010,F339,0.8116,0.4226,0.2738,0.0976,0.0338,0.0069,0.0017,1,1,0,0,0,0,0,0
2010,TA46,0.1884,0.0409,0.0134,0.0021,0.0002,0.0,0.0,0,0,0,0,0,0,0,0
2010,L575,0.3969,0.0956,0.0172,0.0017,0.0,0.0,0.0,4,1,1,1,1,0,0,0
2010,Z184,0.6031,0.1904,0.0429,0.0067,0.0008,0.0,0.0,0,0,0,0,0,0,0,0
2010,P701,0.1245,0.0393,0.0046,0.0004,0.0,0.0,0.0,1,1,0,0,0,0,0,0
2010,L360,0.8755,0.6747,0.299,0.0956,0.0283,0.0054,0.0015,0,0,0,0,0,0,0,0
2010,K435,0.7942,0.6394,0.2013,0.1062,0.0419,0.0103,0.0024,2,1,1,0,0,0,0,0
2010,S843,0.2058,0.1068,0.0136,0.0036,0.0008,0.0,0.0,0,0,0,0,0,0,0,0
2010,G681,0.3834,0.0765,0.0058,0.0006,0.0,0.0,0.0,1,1,0,0,0,0,0,0
2010,D316,0.6166,0.1773,0.0233,0.0069,0.0013,0.0001,0.0,0,0,0,0,0,0,0,0
2010,L428,0.8323,0.2031,0.114,0.0569,0.0167,0.0033,0.0002,1,1,0,0,0,0,0,0
2010,W387,0.1677,0.012,0.0032,0.0005,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2010,R485,0.9384,0.77,0.6349,0.4934,0.3084,0.1372,0.064,3,1,1,1,0,0,0,0
2010,R548,0.0616,0.0149,0.0039,0.0009,0.0001,0.0,0.0,0,0,0,0,0,0,0,0
2010,F510,0.1164,0.0683,0.0227,0.005,0.0006,0.0001,0.0,2,1,1,0,0,0,0,0
2010,V306,0.8836,0.8086,0.641,0.433,0.2174,0.0765,0.0256,0,0,0,0,0,0,0,0
2010,R368,0.4604,0.0507,0.0131,0.0027,0.0004,0.0,0.0,1,1,0,0,0,0,0,0
2010,R750,0.5396,0.0724,0.0214,0.0049,0.0005,0.0,0.0,0,0,0,0,0,0,0,0
2010,BA86,0.8846,0.4364,0.1259,0.0433,0.0098,0.0013,0.0002,1,1,0,0,0,0,0,0
2010,BA53,0.1154,0.0146,0.0015,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2010,B747,0.7219,0.4416,0.1537,0.0645,0.0169,0.0034,0.0002,3,1,1,1,0,0,0,0
2010,V309,0.2781,0.1074,0.0207,0.0047,0.0006,0.0001,0.0,0,0,0,0,0,0,0,0
2010,SA93,0.2893,0.1071,0.0339,0.0097,0.0015,0.0001,0.0,1,1,0,0,0,0,0,0
2010,A479,0.7107,0.411,0.1985,0.0818,0.0248,0.0051,0.0008,0,0,0,0,0,0,0,0
2010,K839,0.1909,0.0443,0.0091,0.0007,0.0,0.0,0.0,2,1,1,0,0,0,0,0
2010,G476,0.8091,0.4376,0.2015,0.0851,0.0257,0.0047,0.0012,0,0,0,0,0,0,0,0
2010,D801,0.5626,0.1448,0.0495,0.0126,0.002,0.0002,0.0,1,1,0,0,0,0,0,0
2010,C582,0.4374,0.0908,0.0283,0.0053,0.0006,0.0002,0.0,0,0,0,0,0,0,0,0
2010,T786,0.876,0.7153,0.4693,0.2449,0.103,0.0288,0.0067,4,1,1,1,1,0,0,0
2010,K448,0.124,0.0491,0.0099,0.0018,0.0002,0.0,0.0,0,0,0,0,0,0,0,0
